code|text
1004057008|Flexion contracture of distal interphalangeal joint of fourth toe (disorder)
1004058003|Flexion contracture of interphalangeal joint of great toe (disorder)
1004059006|Flexion contracture of proximal interphalangeal joint of second toe (disorder)
1004060001|Flexion contracture of proximal interphalangeal joint of third toe (disorder)
1004061002|Flexion contracture of proximal interphalangeal joint of fourth toe (disorder)
1004062009|Flexion contracture of distal interphalangeal joint of fifth toe (disorder)
1004063004|Flexion contracture of proximal interphalangeal joint of fifth toe (disorder)
1004064005|Plantar flexion contracture of ankle joint (disorder)
1004065006|Flexion contracture of second toe (disorder)
1004066007|Flexion contracture of third toe (disorder)
1004067003|Flexion contracture of great toe (disorder)
1004068008|Flexion contracture of fourth toe (disorder)
1004069000|Flexion contracture of fifth toe (disorder)
1004070004|Contracture of adductor longus (disorder)
1004071000|Congenital flexion contracture of foot joint (disorder)
1004072007|Progressive flexion contracture of joint (disorder)
1004073002|Flexion contracture of bilateral joints of wrist (disorder)
1004074008|Flexion contracture of joint of right wrist (disorder)
1004075009|Flexion contracture of joint of left wrist (disorder)
1004076005|Flexion contracture of cervical spine joint (disorder)
1004081001|Neonatal disorder due to disease in mother (disorder)
1004082008|Fetal disorder due to maternal periodontal disease (disorder)
1004083003|Neonatal disorder due to maternal periodontal disease (disorder)
1004090008|Entrapment of left ulnar nerve at elbow (disorder)
1004092000|Entrapment of right ulnar nerve at elbow (disorder)
10041001|Tracheal stenosis following tracheostomy (disorder)
1004115000|Middle ear effusion (disorder)
1004155003|Uncertain genetic susceptibility to malignant hyperthermia due to calcium voltage-gated channel subunit alpha1 S gene mutation (finding)
1004173000|Increased lactic acid level in urine (finding)
1004174006|Increased argininosuccinate lyase level in urine (finding)
1004175007|Increased alpha-aminoadipic acid level in urine (finding)
1004176008|Increased 2-Aminobutyric acid level in urine (finding)
1004177004|Increased aspartic acid level in urine (finding)
1004178009|Increased complex organic acid level in urine (finding)
1004179001|Osteolysis of distal phalanx of index finger (disorder)
1004180003|Osteolysis of distal phalanx of middle finger (disorder)
1004181004|Osteolysis of distal phalanx of ring finger (disorder)
1004182006|Osteolysis of distal phalanx of little finger (disorder)
1004183001|Osteolysis of middle phalanx of index finger (disorder)
1004184007|Osteolysis of middle phalanx of middle finger (disorder)
1004185008|Osteolysis of middle phalanx of ring finger (disorder)
1004186009|Osteolysis of middle phalanx of little finger (disorder)
1004188005|Increased 3-hydroxydicarboxylic acid level in urine (finding)
1004189002|Increased neutral amino acid level in urine (finding)
1004190006|Osteolysis of phalanx of index finger (disorder)
100451000119108|Pyogenic bacterial arthritis of shoulder (disorder)
100461000119105|Pyogenic bacterial arthritis of hand (disorder)
100491000119103|Myelopathy co-occurrent and due to spinal stenosis of lumbar region (disorder)
10050004|Contusion of chest (disorder)
10051000|Mitral facies (finding)
100511000119108|Myelopathy co-occurrent and due to spinal stenosis of thoracic region (disorder)
10057001|Chronic lichenoid pityriasis (disorder)
10058006|Miscarriage with amniotic fluid embolism (disorder)
100581000119102|Sequela of traumatic intracranial hemorrhage (disorder)
10065003|Excoriated acne (disorder)
10068001|Sensory somatic cortical disorder (disorder)
100721000119109|High grade astrocytoma of brain (disorder)
100731000119107|Low grade astrocytoma of brain (disorder)
100751000119101|Venous thrombosis due to central venous access device (disorder)
10076004|Ischemic muscular atrophy (disorder)
10078003|Turner's tooth (disorder)
100801000119107|Maternal tobacco use in pregnancy (finding)
10082001|Progressive rubella panencephalitis (disorder)
100841000119109|Previous bariatric surgery complicating pregnancy (disorder)
10085004|Metatarsalgia (finding)
10087007|Infection caused by Schistosoma (disorder)
10091002|High output heart failure (disorder)
10093004|Anisakiasis caused by larva of Anisakis simplex (disorder)
100941000119100|Epilepsy in mother complicating pregnancy (disorder)
101000119102|Numbness and tingling sensation of skin (finding)
1010194003|No safeguarding concern identified (situation)
1010196001|Safeguarding concern (finding)
1010206000|Traumatic amputation of left upper limb (disorder)
1010207009|Traumatic amputation of right upper limb (disorder)
1010208004|Hematoma of spleen with open wound into abdominal cavity (disorder)
1010210002|Traumatic amputation of left lower limb (disorder)
1010211003|Traumatic amputation of right lower limb (disorder)
1010212005|Congenital dysplasia of left hip (disorder)
1010213000|Congenital dysplasia of right hip (disorder)
1010215007|Congenital subluxation of left hip joint (disorder)
1010217004|Congenital subluxation of right hip joint (disorder)
1010227005|Traumatic amputation of right foot (disorder)
1010228000|Traumatic amputation of left foot (disorder)
1010229008|Neural hearing loss of left ear (disorder)
1010230003|Neural hearing loss of right ear (disorder)
1010233001|Otalgia of left ear (finding)
1010234007|Otalgia of right ear (finding)
1010235008|Pain of left breast (finding)
1010236009|Conductive hearing loss of right ear (disorder)
1010237000|Pain of right breast (finding)
1010238005|Conductive hearing loss of left ear (disorder)
1010276004|Ring chromosome (disorder)
1010282001|Neonatal disorder due to maternal traumatic injury (disorder)
1010283006|Fetal disorder due to maternal traumatic injury (disorder)
1010284000|Fetal disorder due to abnormal maternal blood chemistry (disorder)
1010285004|Neonatal disorder due to abnormal maternal blood chemistry (disorder)
1010286003|Fetal disorder due to chronic maternal cardiovascular disease (disorder)
1010287007|Neonatal disorder due to chronic maternal cardiovascular disease (disorder)
1010293004|Possible thiopurine S-methyltransferase intermediate metabolizer (situation)
1010297003|Neonatal vitamin B12 deficiency due to maternal vitamin B12 deficiency (disorder)
1010298008|Fetal disorder due to maternal overweight (disorder)
1010299000|Neonatal disorder due to maternal overweight (disorder)
1010301007|Neonatal disorder due to maternal obesity (disorder)
1010302000|Fetal disorder due to maternal obesity (disorder)
1010309009|Traumatic amputation of left lower limb at level between knee and ankle (disorder)
1010312007|Traumatic amputation of right lower limb at level between knee and ankle (disorder)
1010314008|Fetal disorder due to maternal obesity with adult body mass index equal to or greater than 40 (disorder)
1010315009|Neonatal disorder due to maternal obesity with adult body mass index equal to or greater than 40 (disorder)
